Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard\leonaka01,40:17,11,25,.440,5,8,.625,8,9,.889,3,4,7,9,2,0,1,4,35,+3
Kyle Lowry\lowryky01,38:51,4,11,.364,2,8,.250,7,8,.875,1,6,7,6,1,0,2,3,17,0
Pascal Siakam\siakapa01,36:08,5,15,.333,2,7,.286,2,2,1.000,3,10,13,2,1,3,1,4,14,+8
Marc Gasol\gasolma01,28:58,1,6,.167,1,4,.250,1,2,.500,2,4,6,0,0,1,1,3,4,-4
Danny Green\greenda02,15:30,0,3,.000,0,3,.000,0,0,,0,1,1,0,1,0,0,0,0,-17
Fred VanVleet\vanvlfr01,37:10,7,13,.538,7,9,.778,0,0,,1,0,1,1,1,0,0,1,21,+28
Norman Powell\powelno01,23:50,2,7,.286,1,4,.250,3,6,.500,0,4,4,1,0,0,1,1,8,+3
Serge Ibaka\ibakase01,19:16,1,4,.250,0,0,,4,4,1.000,0,6,6,0,0,0,0,0,6,+9
Chris Boucher\bouchch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jodie Meeks\meeksjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eric Moreland\moreler01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malcolm Miller\millema01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,31,84,.369,18,43,.419,25,31,.806,10,35,45,19,6,4,6,16,105,
