Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard\leonaka01,42:49,13,20,.650,5,7,.714,8,12,.667,3,11,14,5,0,0,7,2,39,+7
Kyle Lowry\lowryky01,41:10,6,13,.462,2,6,.333,0,0,,1,5,6,7,0,0,1,3,14,+11
Danny Green\greenda02,40:02,1,4,.250,1,3,.333,8,8,1.000,0,4,4,0,2,0,2,6,11,+9
Marc Gasol\gasolma01,39:02,7,13,.538,2,7,.286,0,0,,1,4,5,3,0,0,3,5,16,+13
Pascal Siakam\siakapa01,28:34,2,10,.200,0,4,.000,5,6,.833,0,3,3,2,3,0,0,4,9,-5
Serge Ibaka\ibakase01,32:24,6,12,.500,0,3,.000,0,0,,2,7,9,0,0,3,0,2,12,-1
Fred VanVleet\vanvlfr01,7:11,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6
Patrick McCaw\mccawpa01,4:49,0,1,.000,0,0,,0,0,,1,0,1,1,1,0,0,1,0,-1
Norman Powell\powelno01,3:59,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-2
Jodie Meeks\meeksjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malcolm Miller\millema01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eric Moreland\moreler01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,76,.461,10,31,.323,21,26,.808,8,35,43,19,6,3,13,24,101,
