Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam\siakapa01,42:19,12,24,.500,0,4,.000,0,0,,3,6,9,4,1,2,1,3,24,-4
Kyle Lowry\lowryky01,33:51,0,7,.000,0,6,.000,0,2,.000,0,7,7,8,2,0,2,3,0,+11
Danny Green\greenda02,33:35,4,9,.444,3,7,.429,2,2,1.000,0,3,3,1,1,1,2,4,13,-8
Kawhi Leonard\leonaka01,33:05,10,18,.556,3,5,.600,2,3,.667,1,5,6,3,0,0,4,3,25,-2
Marc Gasol\gasolma01,31:57,5,9,.556,2,5,.400,1,2,.500,1,5,6,4,0,0,0,0,13,-2
Fred VanVleet\vanvlfr01,26:41,5,9,.556,3,6,.500,1,2,.500,0,2,2,1,0,0,2,3,14,-16
Serge Ibaka\ibakase01,19:25,2,6,.333,1,1,1.000,0,0,,1,7,8,1,0,1,1,3,5,+1
Norman Powell\powelno01,16:21,1,4,.250,0,2,.000,2,2,1.000,0,4,4,0,0,0,0,0,4,+1
Jodie Meeks\meeksjo01,2:46,1,2,.500,0,0,,1,1,1.000,0,0,0,1,0,0,0,0,3,+4
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eric Moreland\moreler01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chris Boucher\bouchch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malcolm Miller\millema01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,88,.455,12,36,.333,9,14,.643,6,39,45,23,4,4,12,19,101,
