Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam\siakapa01,46:10,10,17,.588,3,6,.500,3,4,.750,2,8,10,3,1,1,2,2,26,+2
Kyle Lowry\lowryky01,41:42,9,16,.563,4,7,.571,4,6,.667,2,5,7,10,3,0,3,5,26,+16
Kawhi Leonard\leonaka01,41:05,7,16,.438,1,5,.200,7,8,.875,1,5,6,3,2,1,2,4,22,-2
Marc Gasol\gasolma01,26:34,0,5,.000,0,2,.000,3,4,.750,3,6,9,4,0,0,1,4,3,-7
Danny Green\greenda02,17:43,0,0,,0,0,,0,0,,0,1,1,3,1,0,1,1,0,+7
Fred VanVleet\vanvlfr01,33:48,6,14,.429,5,11,.455,5,5,1.000,1,1,2,0,1,0,1,1,22,-10
Serge Ibaka\ibakase01,22:07,7,12,.583,0,1,.000,1,2,.500,2,1,3,2,0,0,1,4,15,+9
Norman Powell\powelno01,10:50,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,2,0,+5
Patrick McCaw\mccawpa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
OG Anunoby\anunoog01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jodie Meeks\meeksjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malcolm Miller\millema01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,82,.476,13,33,.394,23,29,.793,11,28,39,25,8,2,12,23,114,
