Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam\siakapa01,41:20,6,14,.429,0,2,.000,7,8,.875,2,4,6,1,0,1,1,0,19,+5
Kawhi Leonard\leonaka01,40:34,11,22,.500,5,9,.556,9,9,1.000,1,11,12,2,4,1,0,4,36,+13
Kyle Lowry\lowryky01,37:18,3,12,.250,0,4,.000,4,4,1.000,0,2,2,7,3,0,2,4,10,+5
Danny Green\greenda02,29:44,1,8,.125,1,7,.143,0,0,,1,2,3,1,3,0,2,5,3,+13
Marc Gasol\gasolma01,27:49,3,8,.375,1,4,.250,2,2,1.000,2,5,7,3,1,0,1,2,9,+1
Fred VanVleet\vanvlfr01,28:56,3,9,.333,2,5,.400,0,0,,0,4,4,6,0,0,2,1,8,+12
Serge Ibaka\ibakase01,21:43,9,12,.750,1,1,1.000,1,1,1.000,1,3,4,1,0,2,1,5,20,+11
Norman Powell\powelno01,10:42,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,0,0,0,+8
Patrick McCaw\mccawpa01,1:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
OG Anunoby\anunoog01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eric Moreland\moreler01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jodie Meeks\meeksjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,86,.419,10,32,.313,23,24,.958,7,32,39,22,12,4,9,21,105,
