Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam\siakapa01,42:20,6,20,.300,2,9,.222,1,2,.500,2,4,6,3,1,1,1,3,15,+1
Kawhi Leonard\leonaka01,42:13,10,26,.385,1,5,.200,10,10,1.000,1,8,9,2,3,0,3,2,31,-4
Kyle Lowry\lowryky01,40:10,10,15,.667,7,9,.778,3,4,.750,3,5,8,2,1,0,4,5,30,-10
Marc Gasol\gasolma01,39:55,2,11,.182,2,7,.286,0,0,,0,12,12,5,0,2,1,3,6,+1
Danny Green\greenda02,35:10,1,5,.200,1,4,.250,3,4,.750,1,5,6,2,2,0,3,3,6,+5
Serge Ibaka\ibakase01,17:02,2,6,.333,0,2,.000,0,0,,1,3,4,1,1,1,0,2,4,-17
Fred VanVleet\vanvlfr01,13:16,1,4,.250,0,2,.000,0,0,,0,1,1,2,1,0,0,2,2,-10
Norman Powell\powelno01,9:54,2,5,.400,2,4,.500,0,0,,0,0,0,0,0,0,0,1,6,-6
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jodie Meeks\meeksjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chris Boucher\bouchch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eric Moreland\moreler01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malcolm Miller\millema01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,34,92,.370,15,42,.357,17,20,.850,8,38,46,17,9,4,12,21,100,
