Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam\siakapa01,40:56,5,18,.278,0,3,.000,2,4,.500,3,5,8,5,0,0,0,4,12,-4
Kawhi Leonard\leonaka01,38:43,8,20,.400,2,9,.222,16,16,1.000,5,9,14,3,1,1,5,1,34,-14
Marc Gasol\gasolma01,31:29,2,7,.286,0,2,.000,2,2,1.000,0,6,6,2,0,1,2,4,6,-6
Kyle Lowry\lowryky01,27:41,4,11,.364,3,7,.429,2,3,.667,0,1,1,2,1,0,2,6,13,-17
Danny Green\greenda02,25:39,3,7,.429,2,5,.400,0,0,,2,3,5,1,0,0,3,2,8,-3
Fred VanVleet\vanvlfr01,38:08,7,17,.412,2,8,.250,1,1,1.000,2,2,4,2,3,0,2,2,17,+3
Norman Powell\powelno01,21:07,3,7,.429,1,3,.333,0,0,,0,1,1,2,1,0,1,0,7,+13
Serge Ibaka\ibakase01,16:17,3,7,.429,1,1,1.000,0,0,,3,7,10,0,2,0,0,3,7,+3
Chris Boucher\bouchch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jodie Meeks\meeksjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
OG Anunoby\anunoog01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Patrick McCaw\mccawpa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,94,.372,11,38,.289,23,26,.885,15,34,49,17,8,2,15,22,104,
