Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Lowry\lowryky01,42:13,8,16,.500,1,6,.167,1,2,.500,1,3,4,6,1,2,2,4,18,+4
Kawhi Leonard\leonaka01,41:24,9,24,.375,2,7,.286,6,8,.750,6,6,12,6,2,2,5,0,26,+1
Pascal Siakam\siakapa01,33:54,6,15,.400,0,4,.000,0,1,.000,1,3,4,2,1,0,2,2,12,-5
Danny Green\greenda02,33:15,2,7,.286,0,4,.000,0,0,,3,2,5,0,1,0,1,1,4,+5
Marc Gasol\gasolma01,31:02,4,6,.667,2,3,.667,7,8,.875,0,8,8,2,0,0,1,5,17,+4
Fred VanVleet\vanvlfr01,27:19,3,7,.429,3,6,.500,2,2,1.000,0,2,2,1,0,0,0,3,11,-12
Serge Ibaka\ibakase01,16:58,5,8,.625,0,1,.000,5,6,.833,2,4,6,1,1,1,2,4,15,-5
Norman Powell\powelno01,12:27,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,+6
Patrick McCaw\mccawpa01,1:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Chris Boucher\bouchch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jodie Meeks\meeksjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
OG Anunoby\anunoog01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,85,.447,8,32,.250,21,27,.778,13,30,43,19,6,5,13,19,105,
